Team,Total Passes,Total Progressive Passes,Season
Troyes,2287,180,2022/23
PSG,4285,362,2022/23
Marseille,2977,263,2022/23
Lorient,2690,196,2022/23
Lens,3511,284,2022/23
Monaco,2465,247,2022/23
Lyon,4026,320,2022/23
LOSC,3941,312,2022/23
Rennes,3649,359,2022/23
Montpellier,2727,209,2022/23
Clermont Foot,2711,173,2022/23
Toulouse,3236,307,2022/23
Nice,3078,226,2022/23
Angers,2720,246,2022/23
Nantes,2497,199,2022/23
Metz,0,0,2022/23
Reims,1962,203,2022/23
Strasbourg,3097,258,2022/23
Brest,2489,195,2022/23
Bordeaux,0,0,2022/23
Auxerre,2936,212,2022/23
Ajaccio,2200,206,2022/23
Troyes,13247,1024,2021/22
PSG,24022,1579,2021/22
Marseille,21391,1439,2021/22
Lorient,13253,1075,2021/22
Lens,16828,1428,2021/22
Monaco,16483,1597,2021/22
Lyon,19992,1513,2021/22
LOSC,15249,1239,2021/22
Rennes,17844,1390,2021/22
Montpellier,14114,1132,2021/22
Clermont Foot,15832,1140,2021/22
Toulouse,14080,1058,2021/22
Nice,16278,1217,2021/22
Angers,15582,1096,2021/22
Nantes,12794,1046,2021/22
Metz,12177,807,2021/22
Reims,12246,979,2021/22
Strasbourg,14824,1360,2021/22
Brest,12847,1098,2021/22
Bordeaux,13715,1085,2021/22
Auxerre,0,0,2021/22
Ajaccio,0,0,2021/22