Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
07/08/2021,21:00 (20:00),Matchweek 1,Sat,Home,L,1,2,Paris S-G,0.8,1.2,44,"15,248",Jimmy Giraudon,03/04/2003,Amaury Delerue
15/08/2021,15:00 (14:00),Matchweek 2,Sun,Away,L,0,2,Clermont Foot,0.5,2.3,37,"11,005",Jimmy Giraudon,03/04/2003,Romain Lissorgue
22/08/2021,15:00 (14:00),Matchweek 3,Sun,Away,D,1,1,Strasbourg,1.2,2.2,39,"22,185",Jimmy Giraudon,03/04/2003,Jérôme Brisard
29/08/2021,13:00 (12:00),Matchweek 4,Sun,Home,L,1,2,Monaco,1,2,49,"9,866",Jimmy Giraudon,03/04/2003,Johan Hamel
12/09/2021,15:00 (14:00),Matchweek 5,Sun,Away,W,2,0,Metz,0.8,1.1,38,"15,269",Jimmy Giraudon,03/04/2003,Pierre Gaillouste
19/09/2021,15:00 (14:00),Matchweek 6,Sun,Home,D,1,1,Montpellier,1.1,0.2,41,"7,405",Jimmy Giraudon,3-5-1-1,Florent Batta
22/09/2021,21:00 (20:00),Matchweek 7,Wed,Away,L,1,3,Lyon,1.2,2.5,32,"29,714",Jimmy Giraudon,03/04/2003,Stéphanie Frappart
26/09/2021,15:00 (14:00),Matchweek 8,Sun,Home,D,1,1,Angers,1.2,1.2,37,"6,868",Jimmy Giraudon,03/04/2003,Thomas Léonard
03/10/2021,15:00 (14:00),Matchweek 9,Sun,Away,L,0,2,Nantes,1.5,1.5,46,"15,150",Yoann Salmier,03/04/2003,Jérôme Brisard
17/10/2021,13:00 (12:00),Matchweek 10,Sun,Home,W,1,0,Nice,1.1,0.5,39,"7,925",Jimmy Giraudon,03/04/2003,Johan Hamel
24/10/2021,15:00 (14:00),Matchweek 11,Sun,Away,W,2,1,Reims,0.7,0.7,45,"12,326",Jimmy Giraudon,03/04/2003,Pierre Gaillouste
31/10/2021,15:00 (14:00),Matchweek 12,Sun,Home,D,2,2,Rennes,1.6,1.4,38,"8,550",Jimmy Giraudon,03/04/2003,Jeremy Stinat
05/11/2021,21:00 (20:00),Matchweek 13,Fri,Away,L,0,4,Lens,0.6,3.2,40,"35,706",Jimmy Giraudon,03/04/2003,Thomas Léonard
21/11/2021,15:00 (14:00),Matchweek 14,Sun,Home,L,0,1,Saint-Étienne,1.2,1.2,46,"10,644",Jimmy Giraudon,3-4-1-2,Florent Batta
28/11/2021,20:45 (19:45),Matchweek 15,Sun,Away,L,0,1,Marseille,0.1,1.4,45,,Jimmy Giraudon,03/04/2003,Jérémie Pignard
01/12/2021,19:00 (18:00),Matchweek 16,Wed,Home,W,2,0,Lorient,1.2,0.5,55,"6,506",Jimmy Giraudon,3-5-1-1,Jeremy Stinat
04/12/2021,19:00 (18:00),Matchweek 17,Sat,Away,L,1,2,Lille,0.4,1.5,55,"28,286",Jimmy Giraudon,3-5-1-1,Benoît Bastien
12/12/2021,15:00 (14:00),Matchweek 18,Sun,Home,L,1,2,Bordeaux,1.4,0.8,64,"7,950",Jimmy Giraudon,03/05/2002,Romain Lissorgue
22/12/2021,21:00 (20:00),Matchweek 19,Wed,Home,D,1,1,Brest,1.1,0.5,65,"6,872",Jimmy Giraudon,03/05/2002,Johan Hamel
16/01/2022,17:05 (16:05),Matchweek 21,Sun,Home,L,0,1,Lyon,0.5,2.8,38,"4,224",Adil Rami,3-5-1-1,Jérôme Brisard
19/01/2022,19:00 (18:00),Matchweek 20,Wed,Away,W,1,0,Montpellier,0.7,0.6,48,"4,943",Adil Rami,04/04/2002,Jeremy Stinat
23/01/2022,15:00 (14:00),Matchweek 22,Sun,Away,L,1,2,Angers,1.6,2.1,56,"5,000",Florian Tardieu,4-4-1-1,Romain Lissorgue
06/02/2022,15:00 (14:00),Matchweek 23,Sun,Home,D,0,0,Metz,0.5,0.4,47,"7,227",Adil Rami,4-4-1-1,Pierre Gaillouste
13/02/2022,15:00 (14:00),Matchweek 24,Sun,Away,L,1,5,Brest,0.3,2.7,42,"10,600",Adil Rami,04/04/2002,Florent Batta
20/02/2022,15:00 (14:00),Matchweek 25,Sun,Away,L,1,4,Rennes,0.4,2.6,37,"22,967",Adil Rami,03/05/2002,Clément Turpin
27/02/2022,17:05 (16:05),Matchweek 26,Sun,Home,D,1,1,Marseille,1.4,1.1,42,"16,871",Adil Rami,03/04/2003,François Letexier
06/03/2022,15:00 (14:00),Matchweek 27,Sun,Away,W,2,0,Bordeaux,2.4,0.8,39,"20,287",Gauthier Gallon,03/04/2003,Ruddy Buquet
12/03/2022,21:00 (20:00),Matchweek 28,Sat,Home,W,1,0,Nantes,1.3,0.3,44,"7,400",Florian Tardieu,03/04/2003,Stéphanie Frappart
18/03/2022,21:00 (20:00),Matchweek 29,Fri,Away,D,1,1,Saint-Étienne,1,1.2,37,"32,193",Florian Tardieu,03/04/2003,Romain Lissorgue
03/04/2022,15:00 (14:00),Matchweek 30,Sun,Home,W,1,0,Reims,1.3,0.8,57,"9,482",Adil Rami,03/04/2003,Ruddy Buquet
10/04/2022,15:00 (14:00),Matchweek 31,Sun,Away,L,1,2,Monaco,1,0.6,44,"4,786",Florian Tardieu,03/04/2003,Mikael Lesage
17/04/2022,15:00 (14:00),Matchweek 32,Sun,Home,D,1,1,Strasbourg,1.5,1.8,39,"10,000",Florian Tardieu,03/04/2003,Benoît Millot
20/04/2022,19:00 (18:00),Matchweek 33,Wed,Home,L,0,1,Clermont Foot,1.6,0.4,49,"7,800",Adil Rami,03/04/2003,Jérémie Pignard
24/04/2022,15:00 (14:00),Matchweek 34,Sun,Away,L,0,1,Nice,0.4,2,39,"17,065",Florian Tardieu,03/04/2003,Hakim Ben El Hadj Salem
01/05/2022,13:00 (12:00),Matchweek 35,Sun,Home,W,3,0,Lille,2.9,0.6,39,"10,497",Florian Tardieu,03/04/2003,Willy Delajod
08/05/2022,20:45 (19:45),Matchweek 36,Sun,Away,D,2,2,Paris S-G,1.4,2.2,37,"45,000",Florian Tardieu,03/04/2003,Jérôme Brisard
14/05/2022,21:00 (20:00),Matchweek 37,Sat,Home,L,1,3,Lens,0.3,0.8,48,"19,000",Florian Tardieu,03/04/2003,François Letexier
21/05/2022,21:00 (20:00),Matchweek 38,Sat,Away,D,1,1,Lorient,0.5,1.3,42,"15,131",Florian Tardieu,03/04/2003,Johan Hamel