Player,Nation,Pos,Age,90s,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Rominigue Kouamé,ml MLI,MF,24,33,586,164,28,178,343,65,41,5,0,36,65,116,24,0
Gauthier Gallon,fr FRA,GK,28,31,2,0,0,2,0,0,1,0,0,1,0,0,1,0
Xavier Chavalerin,fr FRA,"MF,FW",30,30.2,642,174,27.1,170,337,135,42,4,0,38,47,106,36,0
Yoann Salmier,gf GUF,DF,28,29.6,256,101,39.5,158,83,15,47,14,0,33,67,127,96,1
Florian Tardieu,fr FRA,MF,29,29.2,495,155,31.3,195,260,40,47,10,0,37,55,113,43,0
Giulian Biancone,fr FRA,DF,21,25.5,416,136,32.7,213,153,50,39,8,0,31,73,149,68,1
Issa Kaboré,bf BFA,DF,20,25,442,110,24.9,172,194,76,54,3,0,51,36,89,28,0
Renaud Ripart,fr FRA,"FW,DF",28,21,486,107,22,136,237,113,31,3,0,28,19,61,17,0
Mama Samba Baldé,gw GNB,"FW,MF",25,19.1,448,112,25,76,215,157,31,1,0,30,17,61,7,0
Erik Palmer-Brown,us USA,DF,24,19.3,194,85,43.8,132,57,5,35,19,1,16,44,84,81,1
Jimmy Giraudon,fr FRA,DF,29,18,136,54,39.7,82,53,1,40,16,1,24,62,72,59,0
Abdu Conté,pt POR,DF,23,15,186,55,29.6,101,62,23,24,3,0,21,18,46,16,0
Yoann Touzghar,tn TUN,FW,34,16.2,164,50,30.5,10,87,67,6,1,0,5,3,8,8,0
Adil Rami,fr FRA,DF,35,13,85,29,34.1,50,33,2,15,8,0,7,18,36,43,0
Tristan Dingomé,cm CMR,"MF,FW",30,12,192,54,28.1,40,100,52,8,1,0,7,17,39,3,0
Oualid El Hajjam,ma MAR,DF,30,11.9,109,34,31.2,58,39,12,24,8,1,16,41,64,20,0
Youssouf Koné,ml MLI,DF,26,10.9,135,37,27.4,72,51,12,18,3,0,15,13,48,19,0
Ike Ugbo,ca CAN,FW,22,9,199,48,24.1,10,95,94,11,1,0,10,5,7,2,0
Gerson Rodrigues,lu LUX,FW,26,9.4,182,35,19.2,24,100,58,10,2,0,8,2,13,2,0
Dylan Chambost,fr FRA,"MF,FW",23,8.4,191,56,29.3,58,107,26,12,2,0,10,9,31,9,0
Jessy Moulin,fr FRA,GK,35,7,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0
Lebo Mothiba,za RSA,"FW,MF",25,5.8,88,21,23.9,8,54,26,2,0,0,2,7,16,1,0
Karim Azamoum,fr FRA,DF,31,4.3,67,22,32.8,33,34,0,5,2,0,3,2,10,11,0
Yasser Larouci,dz ALG,DF,20,3.8,50,9,18,20,14,16,4,0,0,4,9,15,8,0
Brandon Domingues,fr FRA,"MF,FW",21,2.6,70,21,30,13,45,12,4,0,0,4,3,9,0,0
Nassim Chadli,fr FRA,"MF,DF",20,1.1,26,3,11.5,11,10,5,2,0,0,2,3,6,1,0
Philippe Sandler,nl NED,DF,24,0.8,7,3,42.9,5,2,0,3,1,0,2,1,2,5,0
Suk Hyun-jun,kr KOR,"FW,MF",30,1.7,28,6,21.4,2,13,13,2,0,0,2,0,0,2,0
Eric N'Jo,fr FRA,DF,17,1.1,9,3,33.3,8,0,1,2,1,0,1,1,1,1,0
Banhie Zoukrou,fr FRA,DF,18,0.9,9,2,22.2,8,1,0,0,0,0,0,2,3,1,0
Levi Lumeka,eng ENG,"DF,FW",22,0.7,27,4,14.8,10,13,4,0,0,0,0,0,0,2,0
Mamadou Camara,fr FRA,FW,20,0.4,10,0,0,3,2,5,0,0,0,0,0,1,0,0
Mykola Kukharevych,ua UKR,FW,20,0.2,6,1,16.7,0,4,2,0,0,0,0,0,0,0,0
Patrick Roberts,eng ENG,DF,24,0.2,0,0,,0,0,0,0,0,0,0,0,0,0,0
Derek Mazou-Sacko,fr FRA,"FW,DF",16,0,0,0,,0,0,0,0,0,0,0,0,1,0,0